Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Publication City/Country,Dimensions,Language,ISBN10,ISBN13
Implementing Machine Learning with SAP S/4HANA,"Raghu Banda, Siar Sarferaz","NT$2,201",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4932/9781493220113.jpg,,350 pages,"
                                Hardback
                                    | 350 pages

",28 Jan 2021,"


                                        SAP Press

","
                                Maryland, United States","
                                182.88
                                    x 256.54
                                    x 30.48mm
                                
                                    | 1,020.58g
                                ","
                                English",149322011X,9781493220113
Machine Learning Techniques for Gait Biometric Recognition : Using the Ground Reaction Force,"James Eric Mason, Issa Traore, Isaac Woungang","NT$3,811",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3192/9783319290867.jpg,,223 pages,"
                                Hardback
                                    | 223 pages

",12 Feb 2016,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 5,148g
                                ","
                                English",331929086X,9783319290867
Large-Scale Machine Learning in the Earth Sciences,"Ashok N. Srivastava, Ramakrishna Nemani, Karsten Steinhaeuser","NT$3,285",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498703871.jpg,,208 pages,"
                                Hardback
                                    | 208 pages

",11 Aug 2017,"


                                        Taylor & Francis Inc

","
                                Portland, United States","
                                178
                                    x 254
                                    x 17.78mm
                                
                                    | 590g
                                ","
                                English",1498703879,9781498703871
Machine Learning for Factor Investing: R Version,"Guillaume Coqueret, Tony Guida","NT$5,532",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3674/9780367473228.jpg,,321 pages,"
                                Hardback
                                    | 321 pages

",01 Sep 2020,"


                                        Taylor & Francis Ltd

","
                                London, United Kingdom","
                                178
                                    x 254
                                    x 21.59mm
                                
                                    | 789g
                                ","
                                English",0367473224,9780367473228
Mathematical Theories of Machine Learning - Theory and Applications,"Bin Shi, S. S. Iyengar","NT$2,181",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0301/9783030170752.jpg,,133 pages,"
                                Hardback
                                    | 133 pages

",01 Jul 2019,"


                                        Springer Nature Switzerland AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 11.18mm
                                
                                    | 407g
                                ","
                                English",3030170756,9783030170752
Machine Learning and Data Mining in Aerospace Technology,"Aboul Ella Hassanien, Ashraf Darwish, Hesham El-Askary","NT$4,149",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0302/9783030202118.jpg,,232 pages,"
                                Hardback
                                    | 232 pages

",16 Jul 2019,"


                                        Springer Nature Switzerland AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 14.22mm
                                
                                    | 530g
                                ","
                                English",3030202119,9783030202118
Machine Learning Techniques for Online Social Networks,"Tansel OEzyer, Reda Alhajj","NT$2,936",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3198/9783319899312.jpg,,236 pages,"
                                Hardback
                                    | 236 pages

",08 Jul 2018,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 3,655g
                                ","
                                English",3319899317,9783319899312
Evolutionary Approach to Machine Learning and Deep Neural Networks : Neuro-Evolution and Gene Regulatory Networks,Hitoshi Iba,"NT$4,024",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8113/9789811301995.jpg,,245 pages,"
                                Hardback
                                    | 245 pages

",26 Jun 2018,"


                                        Springer Verlag, Singapore

","
                                Singapore, Singapore","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 559g
                                ","
                                English",9811301999,9789811301995
Machine Learning Techniques for Improved Business Analytics,Dileep Kumar G.,"NT$4,381",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5225/9781522535348.jpg,,275 pages,"
                                Hardback
                                    | 275 pages

",30 Jul 2018,"


                                        IGI Global

","
                                Hershey, United States","
                                178
                                    x 254
                                    x 19.05mm
                                
                                    | 752.96g
                                ","
                                English",1522535349,9781522535348
Machine Learning and Data Mining for Computer Security : Methods and Applications,Marcus A. Maloof,"NT$4,217",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8462/9781846280290.jpg,3.33,210 pages,"
                                Hardback
                                    | 210 pages

",10 Oct 2005,"


                                        Springer London Ltd

","
                                England, United Kingdom","
                                156
                                    x 235
                                    x 16mm
                                
                                    | 1,100g
                                ","
                                English",184628029X,9781846280290
Reinforcement and Systemic Machine Learning for Decision Making,Parag Kulkarni,"NT$2,549",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/4709/9780470919996.jpg,3.25,312 pages,"
                                Hardback
                                    | 312 pages

",14 Aug 2012,"


                                        John Wiley & Sons Inc

","
                                New York, United States","
                                163
                                    x 238
                                    x 23mm
                                
                                    | 624g
                                ","
                                English",047091999X,9780470919996
Applied Machine Learning for Smart Data Analysis,"Nilanjan Dey, Sanjeev Wagh, Parikshit N. Mahalle, Mohd. Shafi Pathan","NT$3,385",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1383/9781138339798.jpg,,225 pages,"
                                Hardback
                                    | 225 pages

",05 Jun 2019,"


                                        Taylor & Francis Ltd

","
                                London, United Kingdom","
                                156
                                    x 235
                                    x 19.05mm
                                
                                    | 513g
                                ","
                                English",1138339792,9781138339798
"Machine Learning and Data-Driven Research in Chemistry : Concepts, Techniques, and Applications",Andreas Hachmann,"NT$3,772",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1193/9781119310914.jpg,,524 pages,"
                                Hardback
                                    | 524 pages

",24 Sep 2021,"


                                        John Wiley and Sons Ltd

","
                                Hoboken, United States","
                                189
                                    x 246mm
                                ","
                                English",1119310911,9781119310914
Machine Learning Techniques for Gait Biometric Recognition : Using the Ground Reaction Force,"James Eric Mason, Issa Traore, Isaac Woungang","NT$3,811",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3192/9783319290867.jpg,,223 pages,"
                                Hardback
                                    | 223 pages

",12 Feb 2016,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 5,148g
                                ","
                                English",331929086X,9783319290867
Large-Scale Machine Learning in the Earth Sciences,"Ashok N. Srivastava, Ramakrishna Nemani, Karsten Steinhaeuser","NT$3,285",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4987/9781498703871.jpg,,208 pages,"
                                Hardback
                                    | 208 pages

",11 Aug 2017,"


                                        Taylor & Francis Inc

","
                                Portland, United States","
                                178
                                    x 254
                                    x 17.78mm
                                
                                    | 590g
                                ","
                                English",1498703879,9781498703871
Machine Learning and Data Mining Approaches to Climate Science : Proceedings of the 4th International Workshop on Climate Informatics,"Valliappa Lakshmanan, Eric Gilleland, Amy McGovern, Martin Tingley","NT$5,521",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3191/9783319172194.jpg,,252 pages,"
                                Hardback
                                    | 252 pages

",14 Aug 2015,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 5,685g
                                ","
                                English",3319172190,9783319172194
Signal Processing and Machine Learning for Biomedical Big Data,"Ervin Sejdic, Tiago H. Falk","NT$5,227",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4987/9781498773454.jpg,,606 pages,"
                                Hardback
                                    | 606 pages

",27 Jul 2018,"


                                        Taylor & Francis Inc

","
                                Portland, United States","
                                216
                                    x 279
                                    x 38.1mm
                                
                                    | 1,678g
                                ","
                                English",1498773451,9781498773454
Computer Vision and Machine Learning with RGB-D Sensors,"Ling Shao, Jungong Han, Pushmeet Kohli, Zhengyou Zhang","NT$3,162",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3190/9783319086507.jpg,3,316 pages,"
                                Hardback
                                    | 316 pages

",31 Aug 2014,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 19.05mm
                                
                                    | 6,746g
                                ","
                                English",3319086502,9783319086507
Modern Approaches in Machine Learning and Cognitive Science: A Walkthrough : Latest Trends in AI,"Vinit Kumar Gunjan, Jacek M. Zurada, Balasubramanian Raman, G. R. Gangadharan","NT$3,323",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0303/9783030384449.jpg,,245 pages,"
                                Hardback
                                    | 245 pages

",09 Apr 2020,"


                                        Springer Nature Switzerland AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 553g
                                ","
                                English",3030384446,9783030384449
"Confluence of AI, Machine, and Deep Learning in Cyber Forensics","Sanjay Misra, Chamundeswari Arumugam, Suresh Jaganathan, Saraswathi S.","NT$5,656",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7998/9781799849001.jpg,,315 pages,"
                                Hardback
                                    | 315 pages

",30 Dec 2020,"


                                        IGI Global

","
                                Hershey, United States","
                                216
                                    x 279
                                    x 17.53mm
                                
                                    | 698.53g
                                ","
                                English",1799849007,9781799849001
AI and Machine Learning Paradigms for Health Monitoring System : Intelligent Data Analytics,"Hasmat Malik, Nuzhat Fatema, Jafar A. Alzubi","NT$4,526",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8133/9789813344112.jpg,,349 pages,"
                                Hardback
                                    | 349 pages

",15 Feb 2021,"


                                        Springer Verlag, Singapore

","
                                Singapore, Singapore","
                                155
                                    x 235mm
                                ","
                                English",9813344113,9789813344112
Implementing Machine Learning with SAP S/4HANA,"Raghu Banda, Siar Sarferaz","NT$2,201",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4932/9781493220113.jpg,,350 pages,"
                                Hardback
                                    | 350 pages

",28 Jan 2021,"


                                        SAP Press

","
                                Maryland, United States","
                                182.88
                                    x 256.54
                                    x 30.48mm
                                
                                    | 1,020.58g
                                ","
                                English",149322011X,9781493220113
Supervised Machine Learning for Kids (Tinker Toddlers),Dr Dhoot,NT$608,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9504/9781950491070.jpg,,40 pages,"
                                Hardback
                                    | 40 pages

",17 Aug 2020,"


                                        Tinker Toddlers

",,"
                                216
                                    x 216
                                    x 6mm
                                
                                    | 331g
                                ","
                                English",1950491072,9781950491070
"Advances in Cybernetics, Cognition, and Machine Learning for Communication Technologies","Vinit Kumar Gunjan, Sabrina Senatore, AMIT KUMAR, Xiao-Zhi Gao, Suresh Merugu","NT$4,963",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8115/9789811531248.jpg,,619 pages,"
                                Hardback
                                    | 619 pages

",29 Apr 2020,"


                                        Springer Verlag, Singapore

","
                                Singapore, Singapore","
                                155
                                    x 235
                                    x 27.94mm
                                
                                    | 1,395g
                                ","
                                English",9811531242,9789811531248
"Modern Approaches in Machine Learning & Cognitive Science: A Walkthrough : Latest Trends in AI, Volume 2","Vinit Kumar Gunjan, Jacek M. Zurada","NT$5,029",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0306/9783030682903.jpg,,396 pages,"
                                Hardback
                                    | 396 pages

",14 Jul 2021,"


                                        Springer Nature Switzerland AG

","
                                Cham, Switzerland","
                                155
                                    x 235mm
                                ","
                                English",3030682900,9783030682903
Advances in Machine Learning Applications in Software Engineering,"Du Zhang, Jeffrey J P Tsai","NT$2,242",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5914/9781591409410.jpg,4,480 pages,"
                                Hardback
                                    | 480 pages

",15 Dec 2006,"


                                        IGI Global

","
                                Hershey, United States","
                                180.59
                                    x 259.84
                                    x 32mm
                                
                                    | 1,020.58g
                                ","
                                English",1591409411,9781591409410
"Survival Analysis : A Self-Learning Text, Third Edition","David G. Kleinbaum, Mitchel Klein","NT$2,766",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4419/9781441966452.jpg,4.22,700 pages,"
                                Hardback
                                    | 700 pages

",31 Aug 2011,"


                                        Springer-Verlag New York Inc.

","
                                New York, NY, United States","
                                178
                                    x 254
                                    x 45.72mm
                                
                                    | 1,533g
                                ","
                                English",1441966455,9781441966452
Machine Learning Algorithms for Problem Solving in Computational Applications : Intelligent Techniques,Siddhivinayak Kulkarni,"NT$4,291",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4666/9781466618336.jpg,4,324 pages,"
                                Hardback
                                    | 324 pages

",15 Jul 2012,"


                                        Idea Group,U.S.

","
                                Harrisburg, PA, United States","
                                220.98
                                    x 284.48
                                    x 33.02mm
                                
                                    | 1,338.1g
                                ","
                                English",1466618337,9781466618336
Advances in Soft Computing and Machine Learning in Image Processing,"Aboul Ella Hassanien, Diego Alberto Oliva","NT$5,198",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3196/9783319637532.jpg,,718 pages,"
                                Hardback
                                    | 718 pages

",19 Nov 2017,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 39.62mm
                                
                                    | 1,192.95g
                                ","
                                English",3319637533,9783319637532
Machine Learning for Protein Subcellular Localization Prediction,"Shibiao Wan, Man-Wai Mak","NT$2,927",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5015/9781501510489.jpg,5,209 pages,"
                                Hardback
                                    | 209 pages

",31 Jan 2016,"


                                        De Gruyter

","
                                New York, United States","
                                170
                                    x 240
                                    x 12.7mm
                                
                                    | 495g
                                ","
                                English",1501510487,9781501510489
Handbook of Research on Applications and Implementations of Machine Learning Techniques,Sathiyamoorthi Velayutham,"NT$7,614",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5225/9781522599029.jpg,,450 pages,"
                                Hardback
                                    | 450 pages

",30 Apr 2020,"


                                        IGI Global

","
                                Hershey, United States","
                                216
                                    x 279
                                    x 26.92mm
                                
                                    | 1,415.21g
                                ","
                                English",1522599029,9781522599029
Handbook of Research on Emerging Trends and Applications of Machine Learning,"Arun Solanki, Sandeep Kumar, Anand Nayyar","NT$11,208",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5225/9781522596431.jpg,,1000 pages,"
                                Hardback
                                    | 1000 pages

",28 Feb 2020,"


                                        IGI Global

","
                                Hershey, United States","
                                216
                                    x 279
                                    x 38.1mm
                                
                                    | 1,923.23g
                                ","
                                English",1522596437,9781522596431
Modern Machine Learning Algorithms for Radar and Communications,"Uttam Majumder, Erik Blasch, David Garren","NT$4,845",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6308/9781630816377.jpg,,290 pages,"
                                Hardback
                                    | 290 pages

",31 Jul 2020,"


                                        Artech House Publishers

","
                                Norwood, United States","
                                178
                                    x 254
                                    x 22.86mm
                                
                                    | 839.15g
                                ","
                                English",163081637X,9781630816377
Machine Learning for Protein Subcellular Localization Prediction,"Shibiao Wan, Man-Wai Mak","NT$2,927",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5015/9781501510489.jpg,5,209 pages,"
                                Hardback
                                    | 209 pages

",31 Jan 2016,"


                                        De Gruyter

","
                                New York, United States","
                                170
                                    x 240
                                    x 12.7mm
                                
                                    | 495g
                                ","
                                English",1501510487,9781501510489
Modern Machine Learning Algorithms for Radar and Communications,"Uttam Majumder, Erik Blasch, David Garren","NT$4,845",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6308/9781630816377.jpg,,290 pages,"
                                Hardback
                                    | 290 pages

",31 Jul 2020,"


                                        Artech House Publishers

","
                                Norwood, United States","
                                178
                                    x 254
                                    x 22.86mm
                                
                                    | 839.15g
                                ","
                                English",163081637X,9781630816377
Symmetry-Adapted Machine Learning for Information Security,James (Jong Hyuk) Park,"NT$1,481",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0393/9783039366422.jpg,,202 pages,"
                                Hardback
                                    | 202 pages

",07 Aug 2020,"


                                        MDPI AG

",,"
                                170
                                    x 244
                                    x 18mm
                                
                                    | 635g
                                ","
                                English",3039366424,9783039366422
"Machine Learning Forensics for Law Enforcement, Security, and Intelligence",Jesus Mena,"NT$3,115",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4398/9781439860694.jpg,2.5,349 pages,"
                                Hardback
                                    | 349 pages

",02 Aug 2011,"


                                        Taylor & Francis Inc

","
                                Washington, United States","
                                156
                                    x 235
                                    x 22.86mm
                                
                                    | 635g
                                ","
                                English",1439860696,9781439860694
"Handbook of Research on Machine Learning Applications and Trends : Algorithms, Methods and Techniques","Emilio Soria Olivas, Jose David Martin Guerrero, Marcelino Martinez Sober, Jose Rafael Magdalena Benedito","NT$12,842",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6056/9781605667669.jpg,,834 pages,"
                                Hardback
                                    | 834 pages

",15 Sep 2009,"


                                        IGI Global

","
                                Hershey, United States","
                                215.9
                                    x 285.75
                                    x 63.5mm
                                
                                    | 163.29g
                                ","
                                English",1605667668,9781605667669
Machine Learning Techniques for Online Social Networks,"Tansel OEzyer, Reda Alhajj","NT$2,936",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3198/9783319899312.jpg,,236 pages,"
                                Hardback
                                    | 236 pages

",08 Jul 2018,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 3,655g
                                ","
                                English",3319899317,9783319899312
Evolutionary Approach to Machine Learning and Deep Neural Networks : Neuro-Evolution and Gene Regulatory Networks,Hitoshi Iba,"NT$4,024",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8113/9789811301995.jpg,,245 pages,"
                                Hardback
                                    | 245 pages

",26 Jun 2018,"


                                        Springer Verlag, Singapore

","
                                Singapore, Singapore","
                                155
                                    x 235
                                    x 16mm
                                
                                    | 559g
                                ","
                                English",9811301999,9789811301995
Machine Learning Techniques for Improved Business Analytics,Dileep Kumar G.,"NT$4,381",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5225/9781522535348.jpg,,275 pages,"
                                Hardback
                                    | 275 pages

",30 Jul 2018,"


                                        IGI Global

","
                                Hershey, United States","
                                178
                                    x 254
                                    x 19.05mm
                                
                                    | 752.96g
                                ","
                                English",1522535349,9781522535348
"Advances in Neural Computation, Machine Learning, and Cognitive Research : Selected Papers from the XIX International Conference on Neuroinformatics, October 2-6, 2017, Moscow, Russia","Boris Kryzhanovsky, Witali Dunin-Barkowski, Vladimir Redko","NT$4,707",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3196/9783319666037.jpg,,199 pages,"
                                Hardback
                                    | 199 pages

",29 Oct 2017,"


                                        Springer International Publishing AG

","
                                Cham, Switzerland","
                                155
                                    x 235
                                    x 14.22mm
                                
                                    | 4,498g
                                ","
                                English",3319666037,9783319666037
Machine Learning and Artificial Intelligence in Geosciences: Volume 61,"Benjamin Moseley, Lion Krischer","NT$4,523",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1282/9780128216699.jpg,,316 pages,"
                                Hardback
                                    | 316 pages

",22 Sep 2020,"


                                        Elsevier Science Publishing Co Inc

","
                                San Diego, United States","
                                152
                                    x 229
                                    x 19.05mm
                                
                                    | 610g
                                ","
                                English",0128216697,9780128216699
"Recommender System with Machine Learning and Artificial Intelligence : Practical Tools and Applications in Medical, Agricultural and Other Industries","Sachi Nandan Mohanty, Jyotir Moy Chatterjee, Sarika Jain, Ahmed A. Elngar, Priya Gupta","NT$4,377",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1197/9781119711575.jpg,,448 pages,"
                                Hardback
                                    | 448 pages

",08 Jul 2020,"


                                        John Wiley & Sons Inc

","
                                New York, United States","
                                166
                                    x 237
                                    x 28mm
                                
                                    | 736g
                                ","
                                English",1119711576,9781119711575
